;левове;левове;левове;левове;левове;левове;левове;левове;
;2000;2001;2002;2003;2004;2005;2006;2007;
;Общо;Общо;Общо;Общо;Общо;Общо;Общо;Общо;
Видин;2342;2484;2678;2722;2865;3234;3487;4021;
Враца;3236;3507;3560;3552;3705;4126;4555;5127;
Ловеч;2408;2532;2787;3000;3190;3445;3752;4317;
Монтана;2157;2337;2555;2716;2894;3286;3593;4181;
Плевен;2422;2552;2745;2921;3102;3368;3617;4181;
Велико Търново;2378;2488;2731;2871;3061;3276;3565;4157;
Габрово;2540;2668;2908;3110;3270;3602;3920;4701;
Разград;2309;2532;2768;2832;2905;3264;3603;4202;
Русе;2443;2533;2727;2889;3057;3313;3628;4326;
Силистра;2152;2312;2562;2703;2907;3225;3476;4033;
Варна;2796;2977;3088;3324;3534;3987;4377;5168;
Добрич;2512;2522;2727;2939;3106;3303;3592;4254;
Търговище;2224;2393;2623;2650;2813;3217;3503;4023;
Шумен;2273;2400;2628;2775;2944;3258;3631;4251;
Бургас;3065;3206;3279;3502;3636;4005;4358;5007;
Сливен;2203;2372;2572;2749;2912;3180;3454;3906;
Стара Загора;2954;3137;3351;3493;3693;4040;4396;5225;
Ямбол;2200;2308;2525;2641;2885;3166;3420;4094;
Благоевград;2289;2407;2490;2671;2910;3130;3407;3842;
Кюстендил;2595;2680;2909;3082;3135;3393;3593;4186;
Перник;2598;2611;2879;3059;3265;3440;3740;4447;
София;2638;2798;3062;3143;3398;3665;4310;5292;
София (столица);3245;3570;3888;4237;4641;5142;5842;7069;
Кърджали;2338;2520;2687;2798;2972;3255;3515;4044;
Пазарджик;2363;2501;2709;2786;2944;3307;3661;4352;
Пловдив;2506;2611;2747;2908;3146;3409;3689;4311;
Смолян;2059;2303;2472;2634;2775;3007;3331;4028;
Хасково;2358;2458;2593;2685;2783;3050;3236;3855;
